anime_id,Name,Genres,Other name,Score,Type
43982,Xi Yangyang Yu Hui Tailang: Yangyang Yundonghui,"Comedy, Sports",喜羊羊與灰太狼之羊羊運動會,UNKNOWN,TV
43983,Xi Yangyang Yu Hui Tailang: Yangyang Kuaile De Yi Nian,"Adventure, Comedy",喜羊羊與灰太狼之羊羊快樂的一年,UNKNOWN,TV
43984,Xi Yangyang Yu Hui Tai Lang: Qi Si Miao Xiang Xi Yangyang,"Adventure, Comedy",喜羊羊與灰太狼之奇思妙想喜羊羊,UNKNOWN,TV
43985,Xi Yangyang Yu Hui Tailang: Gei Kuaile Jiayou,"Adventure, Comedy",喜羊羊與灰太狼之給快樂加油,UNKNOWN,TV
43986,Xi Yangyang Yu Hui Tailang: Jingji Da Lianmeng,"Adventure, Comedy",喜羊羊與灰太狼之競技大聯盟,UNKNOWN,TV
43987,Xi Yangyang Yu Hui Tailang: Kaixin Riji,"Adventure, Comedy",喜羊羊與灰太狼之開心日記,UNKNOWN,TV
43988,Xi Yangyang Yu Hui Tailang: Kaixin Fangshenshi,"Adventure, Comedy",喜羊羊與灰太狼之開心方程式,UNKNOWN,TV
43989,Xi Yangyang Yu Hui Tailang: Lan Yangyang Dang Dachu,"Adventure, Comedy",喜羊羊與灰太狼之懶羊羊當大廚,UNKNOWN,TV
43990,Xi Yangyang Yu Hui Tailang: Yangyang Xiao Xinyuan,"Adventure, Comedy",喜羊羊與灰太狼之羊羊小心愿,UNKNOWN,TV
43991,Xi Yangyang Yu Hui Tailang: Yichu Da Maoxian,"Adventure, Comedy",喜羊羊與灰太狼之衣櫥大冒險,UNKNOWN,TV
43992,Xi Yangyang Yu Hui Tailang: Mama Le Fengkuang,"Adventure, Comedy",喜羊羊與灰太狼之媽媽樂瘋狂,UNKNOWN,TV
43993,Xi Yangyang Yu Hui Tailang: Yuanshi Shijie Lixian Ji,"Adventure, Comedy",喜羊羊與灰太狼之原始世界歷險記,UNKNOWN,TV
43994,Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie,"Adventure, Comedy",喜羊羊與灰太狼之嘻哈闖世界,UNKNOWN,TV
43995,Xi Yangyang Yu Hui Tailang: Yangyang Xiao Zhentan,"Adventure, Comedy",喜羊羊與灰太狼之羊羊小偵探,UNKNOWN,TV
43996,Xi Yangyang Yu Hui Tailang: Shenhai Lixian Ji,"Adventure, Comedy",喜羊羊與灰太狼之深海歷險記,UNKNOWN,TV
43997,Xi Yangyang Yu Hui Tailang: Faming Da Zuozhan,"Adventure, Comedy",喜羊羊與灰太狼之發明大作戰,UNKNOWN,TV
43998,Xi Yangyang Yu Hui Tailang: Qihuan Tiankong Dao,"Adventure, Comedy",喜羊羊與灰太狼之奇幻天空島,UNKNOWN,TV
43999,Xi Yangyang Yu Hui Tailang: Yang Cun Shouhuzhe,"Adventure, Comedy",喜羊羊與灰太狼之羊村守護者,UNKNOWN,TV
